epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.13,0.864,1.31952,1.28091,0.87455,0.90413,0.94213,0.57558,0.8724,0.73284,0.94991,0.000195702,0.000195702,0.000195702
2,333.659,0.55297,0.42951,1.06012,0.96597,0.96282,0.97694,0.63058,0.7177,0.58966,0.83745,0.000383946,0.000383946,0.000383946
3,498.783,0.53076,0.38393,1.0445,0.95093,0.96482,0.9789,0.7064,0.69721,0.65403,0.83841,0.000564429,0.000564429,0.000564429
4,664.385,0.50741,0.35951,1.02734,0.95408,0.95119,0.97317,0.7083,0.56964,0.39167,0.74616,0.000553073,0.000553073,0.000553073
5,830.285,0.48652,0.33297,1.01296,0.97937,0.96322,0.98079,0.73326,0.58545,0.42539,0.74224,0.00054143,0.00054143,0.00054143
6,996.472,0.4603,0.30916,0.99912,0.93789,0.9639,0.97305,0.74833,0.60939,0.37613,0.80734,0.000529788,0.000529788,0.000529788
7,1164.33,0.44295,0.2971,0.9917,0.98172,0.96331,0.98123,0.75137,0.57828,0.40602,0.77703,0.000518146,0.000518146,0.000518146
8,1330.65,0.437,0.28567,0.9878,0.96362,0.9685,0.98288,0.72724,0.65911,0.56443,0.79368,0.000506503,0.000506503,0.000506503
9,1497.82,0.42546,0.27856,0.98499,0.97919,0.97431,0.98316,0.7703,0.56787,0.36251,0.7879,0.000494861,0.000494861,0.000494861
10,1664.4,0.41155,0.26855,0.97927,0.97754,0.96923,0.98406,0.76639,0.57302,0.35771,0.77332,0.000483218,0.000483218,0.000483218
11,1831.34,0.40198,0.26471,0.97146,0.97953,0.9713,0.9824,0.7625,0.58002,0.36446,0.7668,0.000471576,0.000471576,0.000471576
12,1997.69,0.40253,0.25761,0.96948,0.98237,0.97249,0.98468,0.77901,0.50837,0.34117,0.71858,0.000459934,0.000459934,0.000459934
13,2165.1,0.39447,0.25505,0.96991,0.9758,0.97919,0.98406,0.76208,0.57117,0.36209,0.75825,0.000448291,0.000448291,0.000448291
14,2332.99,0.38583,0.24593,0.96391,0.98045,0.97616,0.98176,0.73801,0.56735,0.31878,0.71568,0.000436649,0.000436649,0.000436649
15,177.787,0.48076,0.34209,0.95935,0.97812,0.97345,0.98956,0.83598,0.54354,0.33899,0.75734,0.000425006,0.000425006,0.000425006
16,355.87,0.44851,0.29152,0.94393,0.98454,0.979,0.99184,0.84828,0.50715,0.30702,0.7128,0.000413364,0.000413364,0.000413364
17,534.642,0.43797,0.28405,0.93717,0.98691,0.9813,0.99226,0.86131,0.4998,0.32656,0.71875,0.000401722,0.000401722,0.000401722
18,714.562,0.42339,0.27592,0.93346,0.98931,0.987,0.99303,0.86306,0.50697,0.31208,0.70531,0.000390079,0.000390079,0.000390079
19,893.342,0.42328,0.27138,0.92956,0.98692,0.98166,0.99178,0.86452,0.50115,0.28318,0.71908,0.000378437,0.000378437,0.000378437
20,1072.33,0.41452,0.26341,0.92676,0.98671,0.98691,0.99228,0.87237,0.50466,0.28786,0.74876,0.000366794,0.000366794,0.000366794
21,1250.84,0.40879,0.26041,0.92973,0.98767,0.98925,0.99288,0.88771,0.46079,0.27459,0.70531,0.000355152,0.000355152,0.000355152
22,1429.35,0.39902,0.25332,0.92307,0.99069,0.98967,0.99326,0.87928,0.48782,0.26564,0.72329,0.00034351,0.00034351,0.00034351
23,1607.52,0.40031,0.25483,0.92136,0.98678,0.98273,0.99285,0.88273,0.4548,0.26181,0.67241,0.000331867,0.000331867,0.000331867
24,1785.41,0.39328,0.24686,0.91894,0.99248,0.98948,0.99334,0.88203,0.45066,0.25894,0.67871,0.000320225,0.000320225,0.000320225
25,1963.54,0.39771,0.24853,0.91939,0.98943,0.98888,0.9932,0.88571,0.45035,0.27894,0.67524,0.000308582,0.000308582,0.000308582
26,2141.18,0.38556,0.2413,0.91501,0.99012,0.99178,0.99314,0.88312,0.46106,0.26204,0.69376,0.00029694,0.00029694,0.00029694
27,2319.01,0.37796,0.23581,0.91321,0.99184,0.98954,0.99315,0.89424,0.44383,0.24582,0.69121,0.000285298,0.000285298,0.000285298
28,2496.99,0.37672,0.23501,0.9132,0.99168,0.9905,0.99326,0.89452,0.43615,0.27251,0.68098,0.000273655,0.000273655,0.000273655
29,2674.86,0.37334,0.23238,0.91084,0.98684,0.98892,0.99335,0.89249,0.43679,0.25203,0.66627,0.000262013,0.000262013,0.000262013
30,2852.63,0.36492,0.22678,0.91228,0.99019,0.99142,0.99339,0.89876,0.42225,0.2529,0.66807,0.00025037,0.00025037,0.00025037
31,3030.44,0.36461,0.22624,0.91051,0.99094,0.99005,0.99339,0.89879,0.44893,0.27458,0.69801,0.000238728,0.000238728,0.000238728
32,3208.19,0.35562,0.22056,0.90822,0.98975,0.99411,0.99334,0.90093,0.42963,0.35289,0.67989,0.000227086,0.000227086,0.000227086
33,3386.46,0.36084,0.22014,0.90399,0.98973,0.99376,0.9931,0.90083,0.44139,0.28231,0.68214,0.000215443,0.000215443,0.000215443
34,3564.31,0.35578,0.21834,0.90467,0.98519,0.99363,0.99359,0.90679,0.43638,0.2623,0.68934,0.000203801,0.000203801,0.000203801
35,3742.38,0.35095,0.21612,0.90391,0.9921,0.99161,0.99346,0.90534,0.43637,0.25388,0.69339,0.000192158,0.000192158,0.000192158
36,3920.06,0.34336,0.21205,0.90374,0.9905,0.99279,0.99327,0.90777,0.43761,0.29254,0.69353,0.000180516,0.000180516,0.000180516
37,4097.82,0.34451,0.21096,0.90199,0.99196,0.99282,0.99339,0.90752,0.44461,0.27339,0.68989,0.000168874,0.000168874,0.000168874
38,4275.69,0.3349,0.20716,0.89893,0.99068,0.99333,0.99362,0.91023,0.41846,0.25642,0.67196,0.000157231,0.000157231,0.000157231
39,4453.5,0.33715,0.20752,0.90045,0.99186,0.99425,0.99363,0.91215,0.40906,0.25513,0.66843,0.000145589,0.000145589,0.000145589
40,4631.32,0.32997,0.20178,0.89878,0.99014,0.99444,0.99357,0.91356,0.41038,0.25844,0.66506,0.000133946,0.000133946,0.000133946
41,4808.59,0.36447,0.192,0.91465,0.99095,0.99086,0.99336,0.91199,0.41382,0.25044,0.66756,0.000122304,0.000122304,0.000122304
42,4985.47,0.3532,0.1826,0.9101,0.99162,0.99156,0.99325,0.90873,0.42399,0.32879,0.67956,0.000110662,0.000110662,0.000110662
43,5162.23,0.35108,0.18118,0.90718,0.99139,0.99323,0.99348,0.91413,0.43747,0.28391,0.7082,9.90192e-05,9.90192e-05,9.90192e-05
44,5339.14,0.3432,0.17621,0.90117,0.99021,0.99406,0.99346,0.91427,0.43762,0.2872,0.71361,8.73768e-05,8.73768e-05,8.73768e-05
45,5515.93,0.34105,0.1757,0.90249,0.99115,0.99495,0.9937,0.91647,0.42655,0.30905,0.69827,7.57344e-05,7.57344e-05,7.57344e-05
46,5692.96,0.33797,0.17387,0.90439,0.99216,0.99185,0.99377,0.91507,0.40477,0.31043,0.66696,6.4092e-05,6.4092e-05,6.4092e-05
47,5869.68,0.32947,0.16842,0.89875,0.99124,0.9936,0.99376,0.91787,0.40502,0.29181,0.66559,5.24496e-05,5.24496e-05,5.24496e-05
48,6045.82,0.32926,0.16781,0.89892,0.99037,0.99398,0.99367,0.91707,0.40189,0.2543,0.65857,4.08072e-05,4.08072e-05,4.08072e-05
49,6225.56,0.3199,0.16383,0.89387,0.99073,0.99461,0.99352,0.91803,0.40568,0.24101,0.66308,2.91648e-05,2.91648e-05,2.91648e-05
50,6406.31,0.31457,0.1604,0.8964,0.99105,0.99421,0.99355,0.91848,0.40246,0.24573,0.66104,1.75224e-05,1.75224e-05,1.75224e-05
