epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.839,0.33652,0.20409,0.88766,0.99201,0.99337,0.99336,0.91075,0.43054,0.2409,0.68269,0.000195793,0.000195793,0.000195793
2,378.056,inf,0.20928,0.89014,0.98596,0.99153,0.9922,0.9081,0.44792,0.29971,0.71859,0.000378864,0.000378864,0.000378864
3,557.204,0.35408,0.22312,0.89236,0.98931,0.99103,0.99297,0.89567,0.45331,0.26608,0.69567,0.000548998,0.000548998,0.000548998
4,736.234,0.35184,0.22905,0.89199,0.98817,0.98854,0.99287,0.90733,0.43714,0.28637,0.68693,0.000529788,0.000529788,0.000529788
5,915.014,0.35488,0.22711,0.89195,0.99064,0.98477,0.99307,0.90751,0.43344,0.35081,0.70495,0.000510384,0.000510384,0.000510384
6,1093.92,0.3445,0.2198,0.88855,0.9867,0.99179,0.99318,0.90418,0.43275,0.31004,0.69095,0.00049098,0.00049098,0.00049098
7,1272.65,0.34414,0.22043,0.89229,0.98678,0.98575,0.99253,0.90652,0.43944,0.25112,0.68518,0.000471576,0.000471576,0.000471576
8,1451.68,0.33586,0.2117,0.88819,0.99322,0.98752,0.99325,0.91451,0.4434,0.26552,0.6987,0.000452172,0.000452172,0.000452172
9,1630.62,0.33793,0.21411,0.88792,0.98716,0.98786,0.9915,0.91525,0.38439,0.23507,0.64342,0.000432768,0.000432768,0.000432768
10,1809.6,0.32867,0.20744,0.88482,0.99138,0.99013,0.99271,0.9134,0.4611,0.26244,0.71472,0.000413364,0.000413364,0.000413364
11,1988.6,0.33618,0.21042,0.88685,0.98511,0.98448,0.99262,0.91678,0.41372,0.27585,0.67752,0.00039396,0.00039396,0.00039396
12,2167.55,0.32795,0.20477,0.8841,0.99181,0.98923,0.99302,0.91562,0.41244,0.26966,0.66669,0.000374556,0.000374556,0.000374556
13,2346.15,0.31817,0.19651,0.88262,0.98916,0.99331,0.99323,0.92399,0.40288,0.342,0.66318,0.000355152,0.000355152,0.000355152
14,2524.98,0.31901,0.19573,0.88322,0.98923,0.99147,0.99314,0.92532,0.39849,0.25445,0.66409,0.000335748,0.000335748,0.000335748
15,2703.7,0.31428,0.19183,0.88071,0.99052,0.99217,0.99326,0.9235,0.39316,0.33877,0.65896,0.000316344,0.000316344,0.000316344
16,2882.33,0.30654,0.18886,0.88084,0.98874,0.99306,0.99339,0.92512,0.43134,0.28263,0.70145,0.00029694,0.00029694,0.00029694
17,3061.07,0.30656,0.18732,0.88173,0.99056,0.99364,0.9934,0.92833,0.40749,0.22198,0.67501,0.000277536,0.000277536,0.000277536
18,3239.7,inf,0.18126,0.87853,0.99097,0.99307,0.99351,0.92908,0.40566,0.24303,0.6659,0.000258132,0.000258132,0.000258132
19,3418.38,0.30029,0.18141,0.87552,0.98828,0.99104,0.99322,0.92733,0.38844,0.27967,0.65119,0.000238728,0.000238728,0.000238728
20,3596.88,0.29664,0.17987,0.87606,0.98836,0.99288,0.99325,0.92928,0.38733,0.26466,0.65976,0.000219324,0.000219324,0.000219324
21,3774.86,0.32996,0.17903,0.88526,0.98995,0.99095,0.99327,0.93033,0.38092,0.24358,0.64499,0.00019992,0.00019992,0.00019992
22,3952.41,0.31762,0.16962,0.88182,0.99163,0.99119,0.99348,0.93116,0.38819,0.30826,0.66664,0.000180516,0.000180516,0.000180516
23,4129.86,0.31142,0.16557,0.8774,0.99039,0.99167,0.99345,0.93366,0.37716,0.29776,0.65094,0.000161112,0.000161112,0.000161112
24,4307.31,0.30473,0.16128,0.87691,0.98943,0.99366,0.99326,0.93432,0.38574,0.26104,0.65877,0.000141708,0.000141708,0.000141708
25,4484.79,0.30036,0.15847,0.87382,0.98968,0.99189,0.99306,0.9361,0.3926,0.28767,0.68713,0.000122304,0.000122304,0.000122304
26,4662.45,0.29414,0.15319,0.86957,0.98924,0.99217,0.99328,0.93645,0.38805,0.28004,0.67523,0.0001029,0.0001029,0.0001029
27,4841.07,0.29106,0.15096,0.87308,0.99329,0.9913,0.99362,0.93759,0.38064,0.27239,0.66803,8.3496e-05,8.3496e-05,8.3496e-05
28,5018.72,0.27972,0.14521,0.87096,0.99039,0.99242,0.99357,0.93758,0.38796,0.28266,0.67658,6.4092e-05,6.4092e-05,6.4092e-05
29,5196.31,0.28004,0.14425,0.87131,0.99077,0.99247,0.99363,0.93944,0.3838,0.28138,0.67608,4.4688e-05,4.4688e-05,4.4688e-05
30,5373.97,0.27562,0.1447,0.8687,0.99223,0.9917,0.99343,0.93912,0.38253,0.28188,0.67267,2.5284e-05,2.5284e-05,2.5284e-05
